ID: 2671267, Name: 가락청, Address: 전북특별자치도 전주시 완산구 한지길 68 (풍남동3가), Category: B02011600, Price: 64000, AreaCode: 37
ID: 2627867, Name: 가람나무, Address: 경기도 파주시 소라지로327번길 126-21 (송촌동), Category: B02011600, Price: 63000, AreaCode: 31
ID: 1865597, Name: 가람초연재, Address: 경상북도 안동시 풍천면 하회종가길 76-6 null, Category: B02011600, Price: 119000, AreaCode: 35
ID: 1896032, Name: 가름게스트하우스, Address: 제주특별자치도 서귀포시 법환하로9번길 10 null, Category: Guesthouse, Price: 160000, AreaCode: 39
ID: 582215, Name: 가리왕산이야기 펜션, Address: 강원특별자치도 정선군 정선읍 청량길 32 null, Category: Guesthouse, Price: 187000, AreaCode: 32
ID: 2950408, Name: 가비원모텔[한국관광 품질인증/Korea Quality], Address: 경상남도 하동군 화개로 13 null, Category: B02010900, Price: 240000, AreaCode: 36
ID: 136485, Name: 가야호텔, Address: 경상북도 성주군 수륜면 가야산식물원길 52 null, Category: Hotel, Price: 118000, AreaCode: 35
ID: 2707444, Name: 가영당, Address: 충청북도 청주시 청원구 오창읍 미래지로 71-54 null, Category: B02011600, Price: 178000, AreaCode: 33
ID: 2593271, Name: 가은채, Address: 전북특별자치도 전주시 완산구 한지길 68-13 (풍남동3가), Category: B02011600, Price: 218000, AreaCode: 37
ID: 2593272, Name: 가은채2, Address: 전북특별자치도 전주시 완산구 한지길 100-20 (풍남동3가) null, Category: B02011600, Price: 212000, AreaCode: 37
ID: 2376711, Name: 가을동화펜션, Address: 강원특별자치도 평창군 봉평면 흥정계곡길 72 null, Category: Guesthouse, Price: 174000, AreaCode: 32
ID: 2708335, Name: 가재와곰펜션, Address: 강원특별자치도 평창군 봉평면 흥정계곡4길 212-27 null, Category: Guesthouse, Price: 141000, AreaCode: 32
ID: 1351349, Name: 가족사랑바다체험펜션, Address: 경상남도 남해군 삼동면 죽방로 495 null, Category: Guesthouse, Price: 127000, AreaCode: 36
ID: 3102216, Name: 가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션, Address: 경기도 가평군 북면 꽃넘이길 115-82 가둘기정원, Category: Guesthouse, Price: 197000, AreaCode: null
ID: 1979670, Name: 가평 하이랜드, Address: 경기도 가평군 북면 가화로 2369-19 null, Category: B02010900, Price: 95000, AreaCode: 31
ID: 2814152, Name: 가평미라몬티풀빌라펜션, Address: 경기도 가평군 가화로 1364-59 null, Category: Guesthouse, Price: 86000, AreaCode: 31
ID: 3532761, Name: 가평풀빌라스테이청평, Address: 경기도 가평군 청평면 호명리길 151 null, Category: Guesthouse, Price: 191000, AreaCode: 31
ID: 2579457, Name: 갈모봉 힐링스테이, Address: 경상남도 고성군 고성읍 이당5길 149-21 null, Category: Guesthouse, Price: 112000, AreaCode: 36
ID: 3533129, Name: 감성보다 양평서종점, Address: 경기도 양평군 서종면 당산공원길 21-52 null, Category: B02011600, Price: 99000, AreaCode: 31
ID: 1122064, Name: 강가에 하얀집 펜션, Address: 강원특별자치도 영월군 영월읍 선돌길 83-9 null, Category: Guesthouse, Price: 188000, AreaCode: 32
